LocationDesc,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification1,income_strat,income_ordinal
Michigan,32.7,29.5,36.2,1770,"$15,000 - $24,999","$15,000 - $24,999",2
Montana,40.5,37,44,1456,"$75,000 or greater","$75,000 or greater",6
Oklahoma,33.6,30.4,37,1432,"$15,000 - $24,999","$15,000 - $24,999",2
New Hampshire,22.1,16.7,28.7,415,"Less than $15,000","Less than $15,000",1
Maine,38.3,34.7,42.1,1240,"$35,000 - $49,999","$35,000 - $49,999",4
Mississippi,33,29.6,36.6,1541,"$15,000 - $24,999","$15,000 - $24,999",2
West Virginia,39.6,35.4,44.1,681,"$50,000 - $74,999","$50,000 - $74,999",5
Vermont,38.7,35.2,42.3,980,"$50,000 - $74,999","$50,000 - $74,999",5
Rhode Island,37.3,32.4,42.4,593,"$35,000 - $49,999","$35,000 - $49,999",4
Delaware,39.2,33.1,45.7,439,"$35,000 - $49,999","$35,000 - $49,999",4
Michigan,37.4,34.5,40.4,1793,"$50,000 - $74,999","$50,000 - $74,999",5
Virginia,40.2,35.9,44.6,845,"$35,000 - $49,999","$35,000 - $49,999",4
Nevada,32.1,25.4,39.5,511,"$25,000 - $34,999","$25,000 - $34,999",3
South Dakota,39.3,35.2,43.5,1440,"$75,000 or greater","$75,000 or greater",6
Indiana,29.4,26.5,32.4,1753,"$15,000 - $24,999","$15,000 - $24,999",2
Kentucky,29.2,25.2,33.4,1342,"Less than $15,000","Less than $15,000",1
Vermont,37.1,34,40.3,1454,"$75,000 or greater","$75,000 or greater",6
Alabama,37.5,32.8,42.4,871,"$25,000 - $34,999","$25,000 - $34,999",3
New Mexico,39,35,43.2,1136,"$35,000 - $49,999","$35,000 - $49,999",4
Alaska,37,33.8,40.3,1587,"$75,000 or greater","$75,000 or greater",6
Alaska,20.8,15.2,27.9,290,"Less than $15,000","Less than $15,000",1
Delaware,35.3,32.1,38.6,1306,"$75,000 or greater","$75,000 or greater",6
West Virginia,25.4,21.8,29.4,678,"Less than $15,000","Less than $15,000",1
New Hampshire,31.4,24.8,38.8,386,"Less than $15,000","Less than $15,000",1
Illinois,36.3,31.9,41,865,"$50,000 - $74,999","$50,000 - $74,999",5
Louisiana,30.2,24.4,36.7,396,"$25,000 - $34,999","$25,000 - $34,999",3
Minnesota,36.2,33.9,38.5,2421,"$50,000 - $74,999","$50,000 - $74,999",5
Massachusetts,33.2,30,36.6,2019,"$15,000 - $24,999","$15,000 - $24,999",2
Washington,38.2,36.3,40.1,4716,"$75,000 or greater","$75,000 or greater",6
Virginia,39.2,36.5,41.9,2373,"$75,000 or greater","$75,000 or greater",6
Colorado,38,36.2,39.9,4063,"$75,000 or greater","$75,000 or greater",6
Washington,37.1,33.2,41.1,1961,"$15,000 - $24,999","$15,000 - $24,999",2
Michigan,31.3,28.3,34.4,1919,"$15,000 - $24,999","$15,000 - $24,999",2
Tennessee,30.8,25.6,36.6,557,"$25,000 - $34,999","$25,000 - $34,999",3
Wisconsin,34.4,28.3,40.9,543,"$25,000 - $34,999","$25,000 - $34,999",3
Texas,37.1,33,41.3,1625,"$35,000 - $49,999","$35,000 - $49,999",4
Pennsylvania,37.5,34.7,40.4,2232,"$75,000 or greater","$75,000 or greater",6
New Jersey,37.3,33.9,40.8,1646,"$15,000 - $24,999","$15,000 - $24,999",2
Delaware,33.3,28.7,38.2,670,"$35,000 - $49,999","$35,000 - $49,999",4
Georgia,33.9,27.9,40.5,396,"$25,000 - $34,999","$25,000 - $34,999",3
Vermont,30.9,25.5,36.9,520,"Less than $15,000","Less than $15,000",1
Virginia,33.4,29.4,37.8,916,"$35,000 - $49,999","$35,000 - $49,999",4
Washington,39.2,36.9,41.5,2976,"$75,000 or greater","$75,000 or greater",6
North Carolina,39.8,36.8,42.9,1401,"$75,000 or greater","$75,000 or greater",6
New York,37.2,31.9,42.8,529,"$25,000 - $34,999","$25,000 - $34,999",3
Indiana,36.6,34.1,39.1,2448,"$75,000 or greater","$75,000 or greater",6
Texas,34.8,31.5,38.4,2280,"$15,000 - $24,999","$15,000 - $24,999",2
Washington,24.5,20.8,28.5,869,"Less than $15,000","Less than $15,000",1
Tennessee,34.7,30.1,39.7,930,"$15,000 - $24,999","$15,000 - $24,999",2
Georgia,37.2,31.8,42.9,616,"$25,000 - $34,999","$25,000 - $34,999",3
New Mexico,40.5,36.5,44.6,1285,"$75,000 or greater","$75,000 or greater",6
Kansas,32,29.4,34.6,1980,"$25,000 - $34,999","$25,000 - $34,999",3
Iowa,35.8,32.2,39.6,1104,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,32.1,29,35.3,1503,"$15,000 - $24,999","$15,000 - $24,999",2
Connecticut,37.6,33.9,41.6,1339,"$50,000 - $74,999","$50,000 - $74,999",5
Mississippi,39.4,35.8,43.2,1133,"$75,000 or greater","$75,000 or greater",6
South Carolina,36.8,34.2,39.5,2154,"$75,000 or greater","$75,000 or greater",6
Louisiana,38.9,34.7,43.3,1087,"$75,000 or greater","$75,000 or greater",6
Delaware,40.6,36.4,44.9,993,"$75,000 or greater","$75,000 or greater",6
Idaho,34,29.7,38.5,843,"$50,000 - $74,999","$50,000 - $74,999",5
Arizona,38.7,36.2,41.2,3258,"$75,000 or greater","$75,000 or greater",6
Oregon,31.5,27.3,36.2,765,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,37.9,34.5,41.5,1167,"$50,000 - $74,999","$50,000 - $74,999",5
North Dakota,39.3,35.1,43.6,1021,"$35,000 - $49,999","$35,000 - $49,999",4
Iowa,36.1,32,40.4,828,"$25,000 - $34,999","$25,000 - $34,999",3
Minnesota,40.2,37.3,43.1,1883,"$50,000 - $74,999","$50,000 - $74,999",5
Tennessee,39.5,31.8,47.9,513,"$50,000 - $74,999","$50,000 - $74,999",5
Massachusetts,34.6,31.2,38.2,1754,"$50,000 - $74,999","$50,000 - $74,999",5
Arkansas,33.6,28.1,39.6,564,"$35,000 - $49,999","$35,000 - $49,999",4
Iowa,37.3,33.8,40.9,1001,"$35,000 - $49,999","$35,000 - $49,999",4
Mississippi,41.1,35.1,47.4,454,"$50,000 - $74,999","$50,000 - $74,999",5
Georgia,28.8,23.9,34.1,646,"Less than $15,000","Less than $15,000",1
Georgia,29.5,25.2,34.2,1047,"Less than $15,000","Less than $15,000",1
Wisconsin,38.1,33.5,43,955,"$50,000 - $74,999","$50,000 - $74,999",5
Alaska,33.1,25.1,42.1,368,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,36.4,32.1,40.9,862,"$50,000 - $74,999","$50,000 - $74,999",5
Montana,27.8,24.2,31.7,1076,"Less than $15,000","Less than $15,000",1
Wisconsin,37.2,33,41.6,962,"$50,000 - $74,999","$50,000 - $74,999",5
New Jersey,35.9,32.8,39.1,2012,"$15,000 - $24,999","$15,000 - $24,999",2
West Virginia,40.7,37.2,44.3,1045,"$75,000 or greater","$75,000 or greater",6
Alabama,27.7,23.8,31.9,1108,"Less than $15,000","Less than $15,000",1
Connecticut,39.3,36.8,41.7,2899,"$75,000 or greater","$75,000 or greater",6
North Dakota,36.2,30,43,400,"$25,000 - $34,999","$25,000 - $34,999",3
Idaho,33.6,26.6,41.5,623,"Less than $15,000","Less than $15,000",1
Virginia,25,20.4,30.3,523,"Less than $15,000","Less than $15,000",1
Wisconsin,36.8,32.3,41.5,899,"$25,000 - $34,999","$25,000 - $34,999",3
Kentucky,35.3,31,39.7,1069,"$35,000 - $49,999","$35,000 - $49,999",4
Oklahoma,28.6,24.6,33,1174,"Less than $15,000","Less than $15,000",1
Louisiana,37.1,32.3,42.1,1013,"$25,000 - $34,999","$25,000 - $34,999",3
Oregon,27.3,21.5,33.9,535,"Less than $15,000","Less than $15,000",1
Connecticut,37.7,33.2,42.4,986,"$15,000 - $24,999","$15,000 - $24,999",2
Michigan,37.2,33.6,40.9,1108,"$35,000 - $49,999","$35,000 - $49,999",4
Pennsylvania,37.5,33.1,42,777,"$50,000 - $74,999","$50,000 - $74,999",5
Massachusetts,36.7,33.4,40.1,2368,"$35,000 - $49,999","$35,000 - $49,999",4
Ohio,34.7,31.3,38.3,1632,"$15,000 - $24,999","$15,000 - $24,999",2
Kansas,33.4,30.4,36.4,1318,"$25,000 - $34,999","$25,000 - $34,999",3
South Dakota,35.1,27.9,43,555,"Less than $15,000","Less than $15,000",1
Alabama,38,33.2,43,719,"$50,000 - $74,999","$50,000 - $74,999",5
Alaska,32.5,26.8,38.8,514,"$15,000 - $24,999","$15,000 - $24,999",2
Vermont,30.8,25.8,36.2,639,"Less than $15,000","Less than $15,000",1
Indiana,36.2,32.9,39.7,1302,"$50,000 - $74,999","$50,000 - $74,999",5
Georgia,34.5,30.3,39,976,"$15,000 - $24,999","$15,000 - $24,999",2
Colorado,37.1,34,40.3,1605,"$35,000 - $49,999","$35,000 - $49,999",4
Texas,34.4,30.7,38.3,2062,"$15,000 - $24,999","$15,000 - $24,999",2
Florida,32.2,28.5,36.1,4030,"Less than $15,000","Less than $15,000",1
North Dakota,34.9,27,43.8,253,"Less than $15,000","Less than $15,000",1
North Carolina,40.1,37.5,42.8,2119,"$75,000 or greater","$75,000 or greater",6
Nebraska,31.7,28.6,35,2313,"$15,000 - $24,999","$15,000 - $24,999",2
Wisconsin,36.8,32.3,41.6,807,"$50,000 - $74,999","$50,000 - $74,999",5
Virginia,34.6,28.8,41,566,"$25,000 - $34,999","$25,000 - $34,999",3
Kentucky,30.4,26.4,34.7,1556,"Less than $15,000","Less than $15,000",1
New York,41,36.5,45.6,762,"$50,000 - $74,999","$50,000 - $74,999",5
North Dakota,39.6,36.3,43,1192,"$75,000 or greater","$75,000 or greater",6
New Jersey,38.5,34.2,43,1266,"$15,000 - $24,999","$15,000 - $24,999",2
Vermont,39.6,35.6,43.7,893,"$50,000 - $74,999","$50,000 - $74,999",5
Illinois,24,19,29.8,486,"Less than $15,000","Less than $15,000",1
Montana,35.9,30.7,41.6,611,"$25,000 - $34,999","$25,000 - $34,999",3
Kentucky,26.1,22.3,30.3,1086,"$15,000 - $24,999","$15,000 - $24,999",2
Illinois,40.7,35.6,46,873,"$15,000 - $24,999","$15,000 - $24,999",2
California,31.8,28.9,35,1834,"Less than $15,000","Less than $15,000",1
Michigan,38.2,35.7,40.7,2107,"$75,000 or greater","$75,000 or greater",6
Alabama,31.9,28.5,35.5,1367,"$15,000 - $24,999","$15,000 - $24,999",2
Idaho,37.9,32.7,43.5,670,"$25,000 - $34,999","$25,000 - $34,999",3
Illinois,30,23.5,37.3,464,"Less than $15,000","Less than $15,000",1
New York,38.2,34.1,42.5,957,"$35,000 - $49,999","$35,000 - $49,999",4
Texas,32.9,28.5,37.6,1272,"$25,000 - $34,999","$25,000 - $34,999",3
Michigan,33,29.3,36.8,1096,"$15,000 - $24,999","$15,000 - $24,999",2
North Carolina,36.6,33.5,39.9,1328,"$50,000 - $74,999","$50,000 - $74,999",5
Oregon,36.1,32.3,40.1,860,"$50,000 - $74,999","$50,000 - $74,999",5
Washington,32.4,28.6,36.5,1157,"Less than $15,000","Less than $15,000",1
Montana,37.2,33.1,41.5,1010,"$35,000 - $49,999","$35,000 - $49,999",4
Massachusetts,38.8,36.4,41.2,2742,"$75,000 or greater","$75,000 or greater",6
Delaware,26.3,19.8,34,323,"Less than $15,000","Less than $15,000",1
New Jersey,38.5,36.2,40.7,4148,"$75,000 or greater","$75,000 or greater",6
Nebraska,31.7,27.6,36.1,1446,"Less than $15,000","Less than $15,000",1
Connecticut,35.6,30.5,41.1,628,"$25,000 - $34,999","$25,000 - $34,999",3
Ohio,37.2,33.1,41.4,1770,"$15,000 - $24,999","$15,000 - $24,999",2
Missouri,38.8,34.3,43.5,795,"$50,000 - $74,999","$50,000 - $74,999",5
North Dakota,35.5,30.3,41,595,"$15,000 - $24,999","$15,000 - $24,999",2
Montana,39.3,35.8,43,1390,"$50,000 - $74,999","$50,000 - $74,999",5
Connecticut,38.9,36.8,40.9,3960,"$75,000 or greater","$75,000 or greater",6
Nevada,30.3,20.3,42.6,177,"Less than $15,000","Less than $15,000",1
North Dakota,40.4,36.5,44.4,1209,"$50,000 - $74,999","$50,000 - $74,999",5
Vermont,35.9,33.1,38.8,1613,"$75,000 or greater","$75,000 or greater",6
California,35.2,32.6,37.9,2589,"Less than $15,000","Less than $15,000",1
Nevada,39,32.2,46.4,583,"$35,000 - $49,999","$35,000 - $49,999",4
Maine,41.4,38.6,44.2,1882,"$50,000 - $74,999","$50,000 - $74,999",5
Alaska,40.3,33.8,47.2,454,"$15,000 - $24,999","$15,000 - $24,999",2
Utah,34.8,32.6,37.2,2360,"$50,000 - $74,999","$50,000 - $74,999",5
Illinois,36.9,31.7,42.4,741,"$35,000 - $49,999","$35,000 - $49,999",4
Ohio,33.5,29.9,37.3,1422,"$50,000 - $74,999","$50,000 - $74,999",5
West Virginia,35.3,31.1,39.7,749,"$25,000 - $34,999","$25,000 - $34,999",3
Maryland,33.6,29.5,37.9,1425,"$15,000 - $24,999","$15,000 - $24,999",2
Alabama,36.1,32,40.5,1017,"$50,000 - $74,999","$50,000 - $74,999",5
Massachusetts,36.9,31.6,42.6,813,"$35,000 - $49,999","$35,000 - $49,999",4
Virginia,35.9,32.1,39.9,1109,"$50,000 - $74,999","$50,000 - $74,999",5
Connecticut,41.9,37.7,46.3,1007,"$50,000 - $74,999","$50,000 - $74,999",5
Virginia,28.8,24.3,33.6,654,"Less than $15,000","Less than $15,000",1
Indiana,33.1,27.1,39.7,493,"Less than $15,000","Less than $15,000",1
Texas,38.5,35.5,41.5,2469,"$75,000 or greater","$75,000 or greater",6
Indiana,37.9,35.3,40.7,2009,"$75,000 or greater","$75,000 or greater",6
Oregon,31.8,27.1,36.9,627,"Less than $15,000","Less than $15,000",1
New Mexico,36.3,33.4,39.3,1713,"$75,000 or greater","$75,000 or greater",6
Arkansas,24.8,19.1,31.5,605,"Less than $15,000","Less than $15,000",1
Utah,31.9,28.4,35.5,1388,"$15,000 - $24,999","$15,000 - $24,999",2
New Jersey,36.9,33.3,40.6,1623,"$15,000 - $24,999","$15,000 - $24,999",2
Virginia,43,39,47,984,"$50,000 - $74,999","$50,000 - $74,999",5
Vermont,38.2,34.2,42.3,865,"$35,000 - $49,999","$35,000 - $49,999",4
Utah,36.7,34.7,38.8,3306,"$75,000 or greater","$75,000 or greater",6
Oregon,32.8,27.5,38.5,455,"$25,000 - $34,999","$25,000 - $34,999",3
Hawaii,32.7,28.7,36.9,1187,"$50,000 - $74,999","$50,000 - $74,999",5
Montana,37.1,32.2,42.2,763,"$25,000 - $34,999","$25,000 - $34,999",3
Oklahoma,30.1,26.2,34.2,884,"Less than $15,000","Less than $15,000",1
New Jersey,37.3,33.6,41.2,1277,"$35,000 - $49,999","$35,000 - $49,999",4
Idaho,31,26.5,35.9,799,"$15,000 - $24,999","$15,000 - $24,999",2
Vermont,37.7,34.9,40.5,1695,"$75,000 or greater","$75,000 or greater",6
Colorado,35.6,31.8,39.5,1071,"$25,000 - $34,999","$25,000 - $34,999",3
Virginia,38.5,35.3,41.8,1778,"$75,000 or greater","$75,000 or greater",6
South Dakota,40.8,34.6,47.4,702,"$25,000 - $34,999","$25,000 - $34,999",3
Nevada,37.8,30.2,46,451,"Less than $15,000","Less than $15,000",1
South Carolina,40.4,37.6,43.3,2325,"$75,000 or greater","$75,000 or greater",6
Utah,27.6,24,31.5,841,"Less than $15,000","Less than $15,000",1
Nevada,39.8,33.5,46.4,459,"$25,000 - $34,999","$25,000 - $34,999",3
Georgia,36.4,31.1,42.1,592,"$25,000 - $34,999","$25,000 - $34,999",3
Oklahoma,38.5,34.9,42.3,1037,"$50,000 - $74,999","$50,000 - $74,999",5
Florida,36.7,33.8,39.7,4011,"$50,000 - $74,999","$50,000 - $74,999",5
Michigan,37.8,35.3,40.3,2186,"$75,000 or greater","$75,000 or greater",6
New Jersey,36.2,32.5,40,1514,"$50,000 - $74,999","$50,000 - $74,999",5
West Virginia,33,29.6,36.5,993,"$75,000 or greater","$75,000 or greater",6
Maine,39.6,36.8,42.5,2150,"$75,000 or greater","$75,000 or greater",6
Oklahoma,35.4,31.6,39.4,1117,"$35,000 - $49,999","$35,000 - $49,999",4
Montana,38.3,34.4,42.4,1299,"$25,000 - $34,999","$25,000 - $34,999",3
Washington,29.9,25.2,35.1,675,"Less than $15,000","Less than $15,000",1
Utah,31.1,26.7,35.8,826,"Less than $15,000","Less than $15,000",1
New Mexico,40.4,36.3,44.8,1153,"$50,000 - $74,999","$50,000 - $74,999",5
Kansas,36.9,35.4,38.4,5656,"$75,000 or greater","$75,000 or greater",6
Indiana,32.3,29,35.7,1135,"$50,000 - $74,999","$50,000 - $74,999",5
Rhode Island,32.4,28.4,36.7,857,"$50,000 - $74,999","$50,000 - $74,999",5
Iowa,31.5,26.4,37.1,591,"Less than $15,000","Less than $15,000",1
Kansas,38.9,37.1,40.7,4436,"$75,000 or greater","$75,000 or greater",6
North Dakota,29.4,23,36.8,430,"Less than $15,000","Less than $15,000",1
Nevada,45,38.4,51.8,734,"$50,000 - $74,999","$50,000 - $74,999",5
Maryland,31,26.1,36.3,740,"$25,000 - $34,999","$25,000 - $34,999",3
Nebraska,38.3,35.8,40.7,2849,"$50,000 - $74,999","$50,000 - $74,999",5
Massachusetts,39.6,37.7,41.5,5958,"$75,000 or greater","$75,000 or greater",6
Utah,34.1,30.6,37.8,1108,"$15,000 - $24,999","$15,000 - $24,999",2
Washington,34.3,30.2,38.6,1215,"$25,000 - $34,999","$25,000 - $34,999",3
New Mexico,34.8,31.4,38.5,1069,"$35,000 - $49,999","$35,000 - $49,999",4
Delaware,38,31.2,45.4,348,"$25,000 - $34,999","$25,000 - $34,999",3
Kansas,34,31.8,36.2,2851,"$35,000 - $49,999","$35,000 - $49,999",4
West Virginia,42.4,37.5,47.4,547,"$50,000 - $74,999","$50,000 - $74,999",5
Utah,34.7,31.7,37.8,1640,"$35,000 - $49,999","$35,000 - $49,999",4
Washington,42,37.2,46.9,858,"$25,000 - $34,999","$25,000 - $34,999",3
Michigan,37.6,34.1,41.1,1498,"$50,000 - $74,999","$50,000 - $74,999",5
Ohio,30.5,27.6,33.6,2036,"$15,000 - $24,999","$15,000 - $24,999",2
Maryland,37.4,32.4,42.7,1399,"$50,000 - $74,999","$50,000 - $74,999",5
Oklahoma,38.8,36,41.6,1769,"$75,000 or greater","$75,000 or greater",6
New Hampshire,34.8,31,38.7,1085,"$50,000 - $74,999","$50,000 - $74,999",5
Maryland,38,31.8,44.7,880,"$25,000 - $34,999","$25,000 - $34,999",3
Montana,40.5,37.3,43.7,1705,"$75,000 or greater","$75,000 or greater",6
Alabama,37.7,33.7,42,1014,"$35,000 - $49,999","$35,000 - $49,999",4
Washington,38.2,35,41.6,1527,"$50,000 - $74,999","$50,000 - $74,999",5
Connecticut,32.1,27.6,37.1,743,"$15,000 - $24,999","$15,000 - $24,999",2
Hawaii,34.1,29,39.7,676,"$25,000 - $34,999","$25,000 - $34,999",3
Wisconsin,40.9,36.6,45.3,995,"$35,000 - $49,999","$35,000 - $49,999",4
Wisconsin,35,29.9,40.5,612,"$25,000 - $34,999","$25,000 - $34,999",3
Hawaii,36.3,31.3,41.6,704,"$25,000 - $34,999","$25,000 - $34,999",3
Oklahoma,37.3,33.7,40.9,1077,"$50,000 - $74,999","$50,000 - $74,999",5
Washington,33.1,29,37.5,986,"Less than $15,000","Less than $15,000",1
Pennsylvania,34.7,31.6,38,1423,"$50,000 - $74,999","$50,000 - $74,999",5
Massachusetts,34.7,30.8,38.8,925,"$50,000 - $74,999","$50,000 - $74,999",5
Vermont,34.5,30.4,38.9,902,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,34.1,29.8,38.6,792,"$35,000 - $49,999","$35,000 - $49,999",4
Ohio,28.4,24.9,32.2,1253,"Less than $15,000","Less than $15,000",1
Minnesota,35.7,32.6,38.8,1417,"$25,000 - $34,999","$25,000 - $34,999",3
South Dakota,28.4,22.6,35.1,754,"Less than $15,000","Less than $15,000",1
New York,39,35,43.1,975,"$50,000 - $74,999","$50,000 - $74,999",5
South Dakota,36.8,30.6,43.6,717,"$25,000 - $34,999","$25,000 - $34,999",3
Tennessee,41.5,35.6,47.7,503,"$50,000 - $74,999","$50,000 - $74,999",5
Nevada,41.7,32.4,51.6,253,"$25,000 - $34,999","$25,000 - $34,999",3
Texas,37.2,33.1,41.5,1029,"$35,000 - $49,999","$35,000 - $49,999",4
North Dakota,37.5,33.1,42.1,715,"$50,000 - $74,999","$50,000 - $74,999",5
Montana,36.3,33.2,39.4,1750,"$15,000 - $24,999","$15,000 - $24,999",2
New Hampshire,39.8,36.9,42.7,1789,"$75,000 or greater","$75,000 or greater",6
Vermont,35.9,31.5,40.6,592,"$25,000 - $34,999","$25,000 - $34,999",3
Connecticut,34.7,30.6,39,1026,"$35,000 - $49,999","$35,000 - $49,999",4
Oklahoma,37.4,33.8,41.2,1087,"$35,000 - $49,999","$35,000 - $49,999",4
Pennsylvania,34.4,31.8,37.1,3148,"$15,000 - $24,999","$15,000 - $24,999",2
South Dakota,33.4,27.8,39.6,807,"$15,000 - $24,999","$15,000 - $24,999",2
Nebraska,37.1,34.2,40.1,2274,"$25,000 - $34,999","$25,000 - $34,999",3
Maryland,37.7,34.3,41.3,1559,"$50,000 - $74,999","$50,000 - $74,999",5
Colorado,39,36.7,41.3,3807,"$75,000 or greater","$75,000 or greater",6
Louisiana,26.2,20.6,32.7,622,"Less than $15,000","Less than $15,000",1
Colorado,38.3,36.5,40.1,4066,"$75,000 or greater","$75,000 or greater",6
Alabama,35.2,30.2,40.6,683,"$25,000 - $34,999","$25,000 - $34,999",3
New Jersey,38.8,34,43.8,1024,"$35,000 - $49,999","$35,000 - $49,999",4
Illinois,36.5,31.2,42.2,856,"$15,000 - $24,999","$15,000 - $24,999",2
Nebraska,32.8,29.5,36.2,1774,"$25,000 - $34,999","$25,000 - $34,999",3
New Hampshire,32.8,28.5,37.3,808,"$15,000 - $24,999","$15,000 - $24,999",2
Pennsylvania,31.3,27.7,35.1,1126,"$25,000 - $34,999","$25,000 - $34,999",3
California,36.9,33.6,40.4,1406,"$15,000 - $24,999","$15,000 - $24,999",2
Ohio,35.5,32.4,38.8,1645,"$50,000 - $74,999","$50,000 - $74,999",5
South Carolina,40.5,37.4,43.8,2193,"$75,000 or greater","$75,000 or greater",6
Vermont,37,32.9,41.2,835,"$35,000 - $49,999","$35,000 - $49,999",4
Wisconsin,35.6,30.9,40.5,779,"$25,000 - $34,999","$25,000 - $34,999",3
North Carolina,39.4,36.4,42.4,1357,"$75,000 or greater","$75,000 or greater",6
North Dakota,28.3,22.5,35,368,"Less than $15,000","Less than $15,000",1
Kansas,30.9,28.8,33.2,3008,"$15,000 - $24,999","$15,000 - $24,999",2
Idaho,36.1,31.5,41,815,"$35,000 - $49,999","$35,000 - $49,999",4
Maryland,36.6,32.3,41.1,1286,"$35,000 - $49,999","$35,000 - $49,999",4
North Carolina,35.1,30.3,40.1,558,"Less than $15,000","Less than $15,000",1
Nevada,35.3,27.2,44.3,299,"$35,000 - $49,999","$35,000 - $49,999",4
Maryland,34.9,30.6,39.5,1033,"$35,000 - $49,999","$35,000 - $49,999",4
Alaska,40.8,37.3,44.5,1300,"$75,000 or greater","$75,000 or greater",6
Tennessee,28.1,24.7,31.7,1252,"$15,000 - $24,999","$15,000 - $24,999",2
Ohio,33.1,30.4,36,2252,"$15,000 - $24,999","$15,000 - $24,999",2
Iowa,37.1,33.5,40.9,979,"$35,000 - $49,999","$35,000 - $49,999",4
Tennessee,40.9,35.3,46.7,585,"$35,000 - $49,999","$35,000 - $49,999",4
Nebraska,38,35.5,40.5,2811,"$35,000 - $49,999","$35,000 - $49,999",4
Louisiana,29.9,25,35.4,856,"$15,000 - $24,999","$15,000 - $24,999",2
Oregon,38.4,34.8,42,1175,"$75,000 or greater","$75,000 or greater",6
North Carolina,35.2,31.7,38.8,1216,"$25,000 - $34,999","$25,000 - $34,999",3
Iowa,30.1,25.4,35.3,579,"Less than $15,000","Less than $15,000",1
Nevada,40.4,35.2,45.8,766,"$15,000 - $24,999","$15,000 - $24,999",2
Minnesota,33.9,29.7,38.2,825,"Less than $15,000","Less than $15,000",1
Colorado,36.8,34.8,38.9,3423,"$75,000 or greater","$75,000 or greater",6
Vermont,37.9,33.2,42.8,656,"$25,000 - $34,999","$25,000 - $34,999",3
Alaska,41.6,35.4,48.1,479,"$35,000 - $49,999","$35,000 - $49,999",4
Louisiana,37.8,32.2,43.7,490,"$50,000 - $74,999","$50,000 - $74,999",5
Montana,34.8,31.6,38.2,1848,"$15,000 - $24,999","$15,000 - $24,999",2
Alabama,36.1,31.7,40.7,785,"$50,000 - $74,999","$50,000 - $74,999",5
Rhode Island,31.1,26.7,35.9,764,"$15,000 - $24,999","$15,000 - $24,999",2
New Mexico,38.1,33.1,43.3,778,"Less than $15,000","Less than $15,000",1
North Dakota,40,37.1,43,2408,"$75,000 or greater","$75,000 or greater",6
Iowa,38.2,35.2,41.3,1521,"$75,000 or greater","$75,000 or greater",6
Indiana,40.5,37.5,43.6,1542,"$75,000 or greater","$75,000 or greater",6
Arizona,39.4,32.8,46.4,512,"$50,000 - $74,999","$50,000 - $74,999",5
North Carolina,32.3,28.2,36.7,698,"Less than $15,000","Less than $15,000",1
Georgia,34.6,30.4,39.1,1044,"$25,000 - $34,999","$25,000 - $34,999",3
New York,37.8,35.3,40.4,2397,"$75,000 or greater","$75,000 or greater",6
Delaware,36.8,31.9,42,684,"$50,000 - $74,999","$50,000 - $74,999",5
New York,32.1,28.1,36.3,952,"Less than $15,000","Less than $15,000",1
Minnesota,35.9,31.8,40.2,1848,"$35,000 - $49,999","$35,000 - $49,999",4
Arkansas,39.6,33.8,45.6,528,"$50,000 - $74,999","$50,000 - $74,999",5
Missouri,33.3,28.4,38.5,754,"$25,000 - $34,999","$25,000 - $34,999",3
Tennessee,37.6,31.5,44.1,748,"$75,000 or greater","$75,000 or greater",6
Kentucky,38,33.7,42.5,1210,"$25,000 - $34,999","$25,000 - $34,999",3
Kansas,37.1,34.1,40.2,1623,"$35,000 - $49,999","$35,000 - $49,999",4
Texas,37.5,33.6,41.5,1724,"$50,000 - $74,999","$50,000 - $74,999",5
Pennsylvania,29,23.5,35.1,407,"Less than $15,000","Less than $15,000",1
Vermont,35.3,31.2,39.7,803,"$35,000 - $49,999","$35,000 - $49,999",4
North Carolina,36.4,32.4,40.6,801,"$35,000 - $49,999","$35,000 - $49,999",4
